0,0,1,0,0,,e =0.5,0
0,100,2,100,0,,,0
0,200,3,200,0,,,0
0,300,4,300,0,,,1
1,400,5,400,1,,,0
0,500,6,500,0,,,0
1,600,7,600,1,,,0
1,700,8,700,1,,,0
0,800,9,800,0,,,0
2,900,10,900,2,,,1
1,1000,11,1000,1,,,2
0,1100,12,1100,0,,,0
2,1200,13,1200,2,,,2
2,1300,14,1300,2,,,0
0,1400,15,1400,0,,,2
1,1500,16,1500,1,,,1
1,1600,17,1600,1,,,1
0,1700,18,1700,0,,,3
0,1800,19,1800,0,,,3
2,1900,20,1900,2,,,2
1,2000,21,2000,1,,,2
2,2100,22,2100,2,,,1
0,2200,23,2200,0,,,0
2,2300,24,2300,2,,,1
0,2400,25,2400,0,,,5
0,2500,26,2500,0,,,1
1,2600,27,2600,1,,,1
1,2700,28,2700,1,,,2
0,2800,29,2800,0,,,4
0,2900,30,2900,0,,,1
1,3000,31,3000,1,,,0
0,3100,32,3100,0,,,3
1,3200,33,3200,1,,,4
1,3300,34,3300,1,,,3
0,3400,35,3400,0,,,2
1,3500,36,3500,1,,,0
3,3600,37,3600,3,,,7
0,3700,38,3700,0,,,3
2,3800,39,3800,2,,,5
0,3900,40,3900,0,,,5
1,4000,41,4000,1,,,4
11,4100,42,4100,11,,,1
28,4200,43,4200,28,,,3
12,4300,44,4300,12,,,0
8,4400,45,4400,8,,,0
7,4500,46,4500,7,,,1
10,4600,47,4600,10,,,3
15,4700,48,4700,15,,,1
10,4800,49,4800,10,,,4
13,4900,50,4900,13,,,4
6,5000,51,5000,6,,,1
11,5100,52,5100,11,,,2
9,5200,53,5200,9,,,4
8,5300,54,5300,8,,,2
5,5400,55,5400,5,,,0
7,5500,56,5500,7,,,2
16,5600,57,5600,16,,,2
11,5700,58,5700,11,,,1
19,5800,59,5800,19,,,0
11,5900,60,5900,11,,,0
13,6000,61,6000,13,,,1
20,6100,62,6100,20,,,0
16,6200,63,6200,16,,,0
14,6300,64,6300,14,,,3
12,6400,65,6400,12,,,3
11,6500,66,6500,11,,,1
13,6600,67,6600,13,,,1
13,6700,68,6700,13,,,2
12,6800,69,6800,12,,,1
12,6900,70,6900,12,,,0
15,7000,71,7000,15,,,2
19,7100,72,7100,19,,,2
7,7200,73,7200,7,,,1
16,7300,74,7300,16,,,4
16,7400,75,7400,16,,,2
16,7500,76,7500,16,,,3
14,7600,77,7600,14,,,4
16,7700,78,7700,16,,,1
12,7800,79,7800,12,,,2
12,7900,80,7900,12,,,1
18,8000,81,8000,18,,,2
25,8100,82,8100,25,,,1
33,8200,83,8200,33,,,4
30,8300,84,8300,30,,,2
31,8400,85,8400,31,,,0
37,8500,86,8500,37,,,4
43,8600,87,8600,43,,,0
37,8700,88,8700,37,,,1
41,8800,89,8800,41,,,1
44,8900,90,8900,44,,,1
36,9000,91,9000,36,,,3
37,9100,92,9100,37,,,2
42,9200,93,9200,42,,,1
33,9300,94,9300,33,,,1
33,9400,95,9400,33,,,2
29,9500,96,9500,29,,,1
32,9600,97,9600,32,,,0
30,9700,98,9700,30,,,1
28,9800,99,9800,28,,,3
36,9900,100,9900,36,,,5
30,10000,101,10000,30,,,1
18,10100,102,10100,18,,,4
18,10200,103,10200,18,,,4
32,10300,104,10300,32,,,0
36,10400,105,10400,36,,,4
36,10500,106,10500,36,,,1
39,10600,107,10600,39,,,2
34,10700,108,10700,34,,,3
32,10800,109,10800,32,,,0
31,10900,110,10900,31,,,3
28,11000,111,11000,28,,,0
28,11100,112,11100,28,,,1
31,11200,113,11200,31,,,0
37,11300,114,11300,37,,,2
36,11400,115,11400,36,,,2
32,11500,116,11500,32,,,2
46,11600,117,11600,46,,,2
50,11700,118,11700,50,,,3
53,11800,119,11800,53,,,1
47,11900,120,11900,47,,,0
,,,,0,,,2
,,,,46,,,1
,,,,44,,,0
,,,,38,,,1
,,,,45,,,1
,,,,44,,,4
,,,,41,,,1
,,,,45,,,3
,,,,43,,,1
,,,,50,,,0
,,,,50,,,1
,,,,48,,,2
,,,,48,,,2
,,,,40,,,4
,,,,32,,,4
,,,,34,,,2
,,,,36,,,2
,,,,37,,,3
,,,,43,,,1
,,,,47,,,0
,,,,43,,,1
,,,,40,,,5
,,,,47,,,3
,,,,29,,,0
,,,,31,,,2
,,,,15,,,3
,,,,18,,,4
,,,,14,,,0
,,,,1,,,0
,,,,1,,,2
,,,,2,,,2
,,,,3,,,1
,,,,4,,,4
,,,,5,,,1
,,,,4,,,3
,,,,5,,,0
,,,,3,,,2
,,,,2,,,2
,,,,2,,,2
,,,,3,,,4
,,,,3,,,3
,,,,3,,,2
,,,,4,,,1
,,,,7,,,5
,,,,5,,,2
,,,,7,,,2
,,,,7,,,1
,,,,8,,,2
,,,,12,,,4
,,,,10,,,2
,,,,18,,,2
,,,,28,,,1
,,,,20,,,1
,,,,23,,,0
,,,,13,,,1
,,,,25,,,1
,,,,23,,,2
,,,,22,,,4
,,,,31,,,7
,,,,34,,,2
,,,,22,,,1
,,,,23,,,2
,,,,13,,,2
,,,,24,,,3
,,,,22,,,2
,,,,17,,,4
,,,,17,,,3
,,,,24,,,3
,,,,25,,,1
,,,,26,,,2
,,,,24,,,1
,,,,20,,,1
,,,,21,,,2
,,,,26,,,3
,,,,33,,,1
,,,,26,,,0
,,,,31,,,2
,,,,31,,,3
,,,,22,,,2
,,,,20,,,4
,,,,28,,,
,,,,13,,,
,,,,22,,,
,,,,16,,,
,,,,15,,,
,,,,23,,,
,,,,17,,,
,,,,21,,,
,,,,12,,,
,,,,17,,,
,,,,12,,,
,,,,9,,,
,,,,7,,,
,,,,12,,,
,,,,9,,,
,,,,17,,,
,,,,12,,,
,,,,11,,,
,,,,15,,,
,,,,16,,,
,,,,15,,,
,,,,15,,,
,,,,17,,,
,,,,13,,,
,,,,20,,,
,,,,25,,,
,,,,12,,,
,,,,25,,,
,,,,17,,,
,,,,15,,,
,,,,28,,,
,,,,24,,,
,,,,24,,,
,,,,17,,,
,,,,21,,,
,,,,29,,,
,,,,26,,,
,,,,21,,,
,,,,20,,,
,,,,36,,,